index;program_used;dataset_used;ram;k;nb_genes;search_space;success;answers;memory;time
0;problem;B_with_zeros;16;3;30;4060;1;"[selgene(lgals1);selgene(aes);selgene(sod2);affinity(e510936,e5121042);affinity(e510944,e5373235);affinity(e5130,e5373237);affinity(e5128,e6182)]";;2,334
1;v10.2;B_with_zeros;16;3;30;4060;0;[];;0,072
2;v10.2noparents;B_with_zeros;16;3;30;4060;1;"[affinity(e510933,e5121033);affinity(e510935,e5121042);selgene(egr1);selgene(foxa1);selgene(sod2)]";0,471;0,111
3;v10.2noparents;B_with_zeros;4;3;30;4060;1;"[affinity(e510933,e5121033);affinity(e510935,e5121042);selgene(4);selgene(5);selgene(25)]";0,471;0,188
4;problem;C_with_zeros;16;3;100;161700;1;"[selgene(lgals1);selgene(aes);selgene(ercc4);affinity(e5131760,e5121042);affinity(e5141788,e5131767);affinity(e5131770,e6182);affinity(e510945,e6184);affinity(e510943,e6111064);affinity(e5121037,e6121266)]";;95,563
5;v10.2;C_with_zeros;16;3;100;161700;1;"[affinity(e510943,e5373235);selgene(igf2);selgene(foxa1);selgene(cd44);selgene(ap1s1)]";;0,444
6;v10.2noparents;C_with_zeros;16;3;100;161700;1;"[affinity(e510933,e5121033);affinity(e510935,e5121042);selgene(egr1);selgene(egf);selgene(sod2)]";6,328;0,581
7;v10.2noparents;C_with_zeros;4;3;100;161700;1;"[affinity(e510934,e5121033);affinity(e5132,e5355);affinity(e510933,e5373237);affinity(e510945,e6111064);selgene(57);selgene(78);selgene(16)]";6,328;20,944
8;problem;B_without_zeros;16;3;18;816;1;"[selgene(lgals1);selgene(egr1);selgene(sod2);affinity(1,8);affinity(0,11);affinity(7,11);affinity(3,12);affinity(8,14);affinity(6,15);affinity(13,15);affinity(2,16);affinity(13,16);affinity(12,19);affinity(13,20);affinity(15,20);affinity(16,20);affinity(14,22);affinity(17,22)]";;1,22
9;v10.2;B_without_zeros;16;3;18;816;0;[];;0,046
10;v10.2noparents;B_without_zeros;16;3;18;816;1;"[selgene(egr1);selgene(foxa1);affinity(2,6);affinity(7,11);selgene(aes)]";0,283;0,055
11;v10.2noparents;B_without_zeros;4;3;18;816;1;"[selgene(3);selgene(12);affinity(e510933,e5121033);affinity(e510935,e5121042);selgene(15)]";0,283;0,144
12;problem;C_without_zeros;16;3;82;88560;1;"[selgene(aes);selgene(egr1);selgene(usf2);affinity(1,9);affinity(7,21);affinity(11,21);affinity(2,40);affinity(6,40);affinity(19,40);affinity(24,40);affinity(31,40);affinity(9,41);affinity(29,41);affinity(30,41);affinity(0,47);affinity(3,47);affinity(15,47);affinity(20,47);affinity(32,47);affinity(44,47);affinity(23,49);affinity(28,49);affinity(34,49);affinity(42,49)]";;147,097
13;v10.2;C_without_zeros;16;3;82;88560;1;"[selgene(tgfb1);selgene(gli1);selgene(cfd);selgene(cebpa);selgene(bcl2l1)]";;0,311
14;v10.2noparents;C_without_zeros;16;3;82;88560;1;"[affinity(0,3);affinity(1,4);affinity(30,41);selgene(egr1);selgene(foxa1);selgene(usf2)]";5,166;0,472
15;v10.2noparents;C_without_zeros;4;3;82;88560;1;"[affinity(e510934,e5121033);affinity(e5121031,e5121042);affinity(e510933,e5131767);affinity(e510935,e5373234);selgene(24);selgene(67);selgene(53)]";5,166;25,315
