index,program,dataset,ram,k,nb_class,nb_genes,combinatory,optimum_found,answer,grounding,time
0,problem,B_with_zeros,16,3,2,30,4060,1,"[selgene(lgals1);selgene(aes);selgene(sod2);affinity(e510936,e5121042);affinity(e510944,e5373235);affinity(e5130,e5373237);affinity(e5128,e6182)]",6353,2334
1,v10.2,B_with_zeros,16,3,2,30,4060,0,[],1893,72
2,v10.2noparents,B_with_zeros,16,3,2,30,4060,1,"[affinity(e510933,e5121033);affinity(e510935,e5121042);selgene(egr1);selgene(foxa1);selgene(sod2)]",1893,111
3,v10.2noparents,B_with_zeros,4,3,2,30,4060,1,"[affinity(e510933,e5121033);affinity(e510935,e5121042);selgene(4);selgene(5);selgene(25)]",1893,188
4,problem,C_with_zeros,16,3,2,100,161700,1,"[selgene(lgals1);selgene(aes);selgene(ercc4);affinity(e5131760,e5121042);affinity(e5141788,e5131767);affinity(e5131770,e6182);affinity(e510945,e6184);affinity(e510943,e6111064);affinity(e5121037,e6121266)]",252170,95563
5,v10.2,C_with_zeros,16,3,2,100,161700,1,"[affinity(e510943,e5373235);selgene(igf2);selgene(foxa1);selgene(cd44);selgene(ap1s1)]",25165,444
6,v10.2noparents,C_with_zeros,16,3,2,100,161700,1,"[affinity(e510933,e5121033);affinity(e510935,e5121042);selgene(egr1);selgene(egf);selgene(sod2)]",25164,581
7,v10.2noparents,C_with_zeros,4,3,2,100,161700,1,"[affinity(e510934,e5121033);affinity(e5132,e5355);affinity(e510933,e5373237);affinity(e510945,e6111064);selgene(57);selgene(78);selgene(16)]",25164,20944
8,problem,B_without_zeros,16,3,2,18,816,1,"[selgene(lgals1);selgene(egr1);selgene(sod2);affinity(1,8);affinity(0,11);affinity(7,11);affinity(3,12);affinity(8,14);affinity(6,15);affinity(13,15);affinity(2,16);affinity(13,16);affinity(12,19);affinity(13,20);affinity(15,20);affinity(16,20);affinity(14,22);affinity(17,22)]",2358,1.22
9,v10.2,B_without_zeros,16,3,2,18,816,0,[],1176,46
10,v10.2noparents,B_without_zeros,16,3,2,18,816,1,"[selgene(egr1);selgene(foxa1);affinity(2,6);affinity(7,11);selgene(aes)]",283,55
11,v10.2noparents,B_without_zeros,4,3,2,18,816,1,"[selgene(3);selgene(12);affinity(e510933,e5121033);affinity(e510935,e5121042);selgene(15)]",283,144
